Block,Lot,Ward,Sect,CityTax,StateTax,ResCode,AmountDue,CouncilDistrict
0036B,81,15,110,472.08,23.52,1,0.0,7
0036B,83,15,110,67.44,3.36,0,0.0,7
1468,14,8,180,562.0,28.0,1,307.9,12
0036B,85,15,110,472.08,23.52,0,0.0,7
0036B,86,15,110,472.08,23.52,1,0.0,7
1430,8,3,50,4464.53,222.43,1,2104.64,1
1519,67,8,140,562.0,28.0,1,286.82,13
37,1,15,120,1463.45,72.91,1,0.0,7
2353,011A,16,230,674.4,33.6,1,730.35,9
37,3,15,120,1463.45,72.91,1,0.0,7
37,4,15,120,1463.45,72.91,0,0.0,7
37,5,15,120,1463.45,72.91,1,0.0,7
4164A,59,8,20,337.2,16.8,0,6.91,12
37,008A,15,120,0.0,0.0,0,0.0,
2353,13,16,230,674.4,33.6,1,730.35,9
37,10,15,120,472.08,23.52,1,0.0,7
1523,46,8,150,1440.97,71.79,1,1133.52,13
2358,5,16,250,2471.29,123.12,1,2047.84,9
1553,57,8,130,562.0,28.0,1,140.27,13
37,14,15,120,472.08,23.52,1,0.0,7
37,16,15,120,1011.6,50.4,1,0.0,7
1523,45,8,150,1467.94,73.14,1,1558.19,13
37,18,15,120,0.0,0.0,0,0.0,7
37,19,15,120,0.0,0.0,0,0.0,7
37,21,15,120,472.08,23.52,1,0.0,7
37,22,15,120,472.08,23.52,0,0.0,7
37,23,15,120,472.08,23.52,1,0.0,7
37,24,15,120,472.08,23.52,1,0.0,7
37,25,15,120,0.0,0.0,1,0.0,7
37,17,15,120,67.44,3.36,0,0.0,7
37,2,15,120,1463.45,72.91,0,0.0,7
37,27,15,120,472.08,23.52,0,0.0,7
2362,55,16,70,1660.53,82.73,0,1958.54,9
37,29,15,120,472.08,23.52,1,0.0,7
7644,66,25,50,1877.08,93.52,0,0.0,10
37,31,15,120,472.08,23.52,0,0.0,7
37,32,15,120,1011.6,50.4,1,0.0,7
37,33,15,120,1011.6,50.4,1,0.0,7
2362,58,16,70,1225.16,61.04,0,1447.9,9
37,35,15,120,0.0,0.0,0,0.0,7
37,40,15,120,0.0,0.0,0,0.0,7
37,41,15,120,22.48,1.12,0,0.0,7
37,43,15,120,0.0,0.0,0,0.0,7
37,44,15,120,0.0,0.0,0,0.0,7
37,45,15,120,1011.6,50.4,1,0.0,7
37,46,15,120,1011.6,50.4,0,0.0,7
37,47,15,120,1011.6,50.4,1,0.0,7
37,48,15,120,1011.6,50.4,1,0.0,7
37,49,15,120,0.0,0.0,1,0.0,7
37,50,15,120,1011.6,50.4,1,0.0,7
37,51,15,120,1011.6,50.4,1,0.0,7
37,52,15,120,1011.6,50.4,1,0.0,7
37,53,15,120,1011.6,50.4,1,0.0,7
37,54,15,120,1011.6,50.4,1,0.0,7
37,55,15,120,1011.6,50.4,1,0.0,7
37,56,15,120,1011.6,50.4,1,0.0,7
1573,48,8,220,427.12,21.28,1,137.71,13
37,57,15,120,1011.6,50.4,1,0.0,7
37,58,15,120,1011.6,50.4,1,0.0,7
37,59,15,120,1011.6,50.4,1,0.0,7
37,60,15,120,1011.6,50.4,1,0.0,7
37,61,15,120,1011.6,50.4,1,0.0,7
37,62,15,120,1011.6,50.4,1,0.0,7
37,63,15,120,1348.8,67.2,1,0.0,7
37,64,15,120,1011.6,50.4,1,0.0,7
2369,1,16,220,674.4,33.6,0,802.02,9
37,66,15,120,1011.6,50.4,1,0.0,7
37,67,15,120,1011.6,50.4,0,0.0,7
37,68,15,120,1011.6,50.4,1,0.0,7
37,85,15,120,0.0,0.0,0,0.0,7
37,86,15,120,0.0,0.0,0,0.0,7
37,87,15,120,0.0,0.0,0,0.0,7
7993C,59,28,50,2759.04,137.46,1,1352.02,8
8030B,107,28,50,3099.99,154.45,1,1411.4,8
0037A,16,15,120,0.0,0.0,0,0.0,7
8102D,14,28,50,2202.3,109.72,1,20.97,8
1843B,184,1,120,3489.64,173.86,1,3537.24,1
0037A,22,15,120,0.0,0.0,0,0.0,7
0037A,23,15,120,0.0,0.0,0,0.0,7
1843B,177,1,120,3597.54,179.24,1,1806.55,1
1843B,180,1,120,6179.01,307.85,1,3062.18,1
1843B,182,1,120,5252.83,261.71,1,2617.16,1
1843C,2,1,130,5470.89,272.57,1,2721.91,1
1489,46,8,160,2135.6,106.4,1,1753.72,13
1491,50,8,160,2239.01,111.55,1,1870.46,13
1489,42,8,160,2169.32,108.08,1,1567.16,13
2370,9,16,230,112.4,5.6,0,142.9,9
1492,13,8,160,2068.16,103.04,1,136.3,13
0037A,31,15,120,0.0,0.0,0,0.0,7
2377A,3,16,70,382.16,19.04,0,194.02,9
3061B,135,15,270,2612.18,130.14,1,2089.13,7
1503,13,8,140,562.0,28.0,1,280.54,13
0037A,35,15,120,67.44,3.36,0,0.0,7
0037A,37,15,120,0.0,0.0,0,0.0,7
8102E,18,28,50,2084.64,103.86,1,301.42,8
0037A,038A,15,120,1011.6,50.4,1,0.0,7
0037A,39,15,120,1011.6,50.4,1,0.0,7
0037A,40,15,120,1011.6,50.4,1,0.0,7
0037A,42,15,120,1011.6,50.4,1,0.0,7
0037A,43,15,120,1011.6,50.4,1,0.0,7
0037A,44,15,120,1011.6,50.4,0,0.0,7
0037A,45,15,120,1011.6,50.4,1,0.0,7
0037A,46,15,120,1011.6,50.4,1,0.0,7
0037A,47,15,120,1011.6,50.4,0,0.0,7
0037A,48,15,120,1011.6,50.4,1,0.0,7
1492,11,8,160,2020.95,100.69,1,2164.59,13
1629,018J,7,180,562.0,28.0,0,659.12,13
1629,019M,7,180,809.28,40.32,0,959.14,13
0037A,49,15,120,1011.6,50.4,1,0.0,7
0037A,50,15,120,1011.6,50.4,1,0.0,7
0037A,51,15,120,1011.6,50.4,0,0.0,7
0037A,52,15,120,1011.6,50.4,1,0.0,7
0037A,53,15,120,1011.6,50.4,1,0.0,7
0037A,54,15,120,1011.6,50.4,1,0.0,7
0037A,55,15,120,1011.6,50.4,1,0.0,7
0037A,56,15,120,1011.6,50.4,1,0.0,7
0037A,57,15,120,1011.6,50.4,1,0.0,7
0037A,58,15,120,1011.6,50.4,1,0.0,7
0037A,59,15,120,1011.6,50.4,0,0.0,7
0037A,60,15,120,1011.6,50.4,0,0.0,7
0037A,61,15,120,1011.6,50.4,0,0.0,7
1539,24,8,150,337.2,16.8,1,164.76,13
38,2,16,230,0.0,0.0,0,0.0,9
38,3,16,230,0.0,0.0,0,0.0,9
40,1,16,30,0.0,0.0,0,0.0,9
40,4,16,30,0.0,0.0,0,0.0,9
1540,13,8,150,1647.78,82.1,1,520.58,13
40,6,16,30,0.0,0.0,0,0.0,9
40,8,16,30,0.0,0.0,0,0.0,9
41,1,16,30,316.97,15.79,0,0.0,9
41,2,16,30,899.2,44.8,0,0.0,9
41,3,16,30,316.97,15.79,1,0.0,9
41,4,16,30,316.97,15.79,0,0.0,9
41,5,16,30,316.97,15.79,0,0.0,9
41,6,16,30,0.0,0.0,0,0.0,9
1635,37,7,120,809.28,40.32,1,314.08,13
2438,15,15,30,337.2,16.8,0,406.5,7
7139A,34,25,60,1630.54,81.24,0,33.42,10
2438,24,15,30,674.4,33.6,0,398.02,7
2439,19,15,30,337.2,16.8,0,406.5,7
2440,1,16,190,674.4,33.6,0,802.02,9
2440,5,16,190,674.4,33.6,1,730.35,9
2440,6,16,190,112.4,5.6,0,142.9,9
1771,21,2,40,11360.65,566.01,0,12164.5,1
1770,79,1,140,2982.35,148.59,1,833.64,1
1771,1,2,40,6956.05,346.56,1,2807.04,1
1770,55,1,140,3348.78,166.84,1,638.89,1
1771,13,2,40,3373.51,168.08,0,3541.6,1
1771,27,2,40,4796.49,238.97,0,5035.48,1
1540,34,8,150,1582.59,78.85,1,1695.99,13
1776,34,1,30,3611.79,179.95,1,3626.52,1
1540,36,8,150,1582.59,78.85,1,613.0,13
1540,37,8,150,1582.59,78.85,1,269.97,13
530,81,11,100,1753.44,87.36,0,939.14,
530,85,11,100,1348.8,67.2,0,722.42,
1770,66,1,140,4738.78,236.1,1,2334.4,1
1770,78,1,140,4374.61,217.95,1,2184.37,1
1641,9,7,160,809.28,40.32,0,949.14,13
1654,31,7,150,809.28,40.32,0,959.14,13
41,7,16,30,0.0,0.0,0,0.0,9
41,8,16,30,0.0,0.0,0,0.0,9
2441,28,16,190,674.4,33.6,1,730.35,9
41,27,16,30,67.44,3.36,0,0.0,9
2441,39,16,190,674.4,33.6,0,802.02,9
1716,36,26,140,2783.02,138.66,0,0.0,1
41,30,16,30,316.97,15.79,0,0.0,9
2441,40,16,190,674.4,33.6,0,802.02,9
2444,3,16,200,1353.3,67.42,0,1598.2,9
2444,15,16,200,1299.34,64.74,0,1534.96,9
41,34,16,30,613.7,30.58,0,0.0,9
41,36,16,30,0.0,0.0,0,0.0,9
2445,30,16,200,1270.12,63.28,0,1500.62,9
41,38,16,30,67.44,3.36,1,0.0,9
2448,5,16,200,1420.74,70.78,0,1677.28,9
2449,1,16,220,476.58,23.74,0,555.58,9
2451,39,16,190,674.4,33.6,0,802.02,9
1542,23,8,230,1380.27,68.77,1,1261.68,13
41,44,16,30,899.2,44.8,0,0.0,9
1542,30,8,230,1380.27,68.77,1,27.06,13
41,46,16,30,316.97,15.79,1,0.0,9
1542,37,8,230,1380.27,68.77,1,1454.52,13
41,48,16,30,316.97,15.79,0,0.0,9
1654,89,7,150,229.3,11.42,0,268.92,13
1482,30,8,170,562.0,28.0,1,262.13,13
1543,18,8,230,1499.42,74.7,1,717.23,13
41,51,16,30,899.2,44.8,1,0.0,9
41,52,16,30,899.2,44.8,1,0.0,9
41,53,16,30,899.2,44.8,1,0.0,9
41,54,16,30,0.0,0.0,0,0.0,9
41,55,16,30,899.2,44.8,1,0.0,9
1567,47,7,40,811.53,40.43,0,851.98,13
41,57,16,30,899.2,44.8,1,0.0,9
1657,82,7,160,562.0,28.0,0,670.16,13
41,59,16,30,67.44,3.36,0,0.0,9
41,60,16,30,316.97,15.79,0,0.0,9
1658,20,7,170,1240.9,61.82,1,1332.71,13
41,62,16,30,22.48,1.12,0,0.0,9
2451,058D,16,190,674.4,33.6,1,530.35,9
2451,60,16,190,674.4,33.6,0,802.02,9
3838,44,12,160,4392.59,218.85,1,1991.96,12
2028,001B,24,90,5488.11,273.43,1,5412.72,11
1670,5,6,40,3010.07,149.97,1,346.33,13
41,72,16,30,0.0,0.0,0,0.0,9
42,1,16,20,0.0,0.0,0,0.0,9
2501,89,16,180,1724.22,85.9,0,107.8,8
1657,90,7,160,229.3,11.42,0,268.92,13
2024,315,24,110,9027.23,449.76,1,4415.05,
2028,1,24,90,5398.19,268.95,1,2669.22,11
2028,001E,24,90,4747.03,236.51,1,1182.02,11
2451,65,16,190,674.4,33.6,0,802.02,9
42,6,16,20,316.97,15.79,1,0.0,9
42,7,16,20,0.0,0.0,0,0.0,9
42,9,16,20,316.97,15.79,1,0.0,9
42,10,16,20,899.2,44.8,0,0.0,9
42,11,16,20,899.2,44.8,1,0.0,9
42,12,16,20,899.2,44.8,1,0.0,9
42,13,16,20,899.2,44.8,1,0.0,9
42,14,16,20,899.2,44.8,1,0.0,9
42,15,16,20,899.2,44.8,1,0.0,9
42,16,16,20,899.2,44.8,1,0.0,9
42,17,16,20,899.2,44.8,0,0.0,9
5267O,762,27,90,3027.31,150.83,1,250.0,3
2452,46,16,190,674.4,33.6,1,730.35,9
42,20,16,20,0.0,0.0,0,0.0,9
2452,75,16,190,674.4,33.6,1,730.35,9
7463,43,25,50,631.69,31.47,0,701.98,10
42,26,16,20,316.97,15.79,0,0.0,9
42,27,16,20,899.2,44.8,1,0.0,9
42,28,16,20,899.2,44.8,1,0.0,9
2475,8,16,210,744.09,37.07,0,883.7,9
42,30,16,20,899.2,44.8,0,0.0,9
42,33,16,20,316.97,15.79,0,0.0,9
1576,64,8,230,1661.27,82.77,1,859.56,13
2153,86,20,140,67.44,3.36,0,79.08,9
2153,87,20,140,67.44,3.36,0,79.08,9
768,127,21,40,1643.29,81.87,0,33.69,10
2131B,77,20,50,1674.76,83.44,0,813.98,10
1713,152,6,170,1211.67,60.37,0,1432.06,13
42,38,16,20,0.0,0.0,0,0.0,9
2475,30,16,210,1297.1,64.62,0,1532.3,9
42,40,16,20,899.2,44.8,0,0.0,9
42,41,16,20,899.2,44.8,1,0.0,9
42,42,16,20,899.2,44.8,0,0.0,9
42,43,16,20,316.97,15.79,1,0.0,9
1722,9,6,120,44.96,2.24,0,51.8,13
42,45,16,20,0.0,0.0,0,0.0,9
67,16,16,160,0.0,0.0,0,0.0,9
67,17,16,160,0.0,0.0,0,0.0,9
69,1,16,250,0.0,0.0,0,0.0,9
70,2,16,50,67.44,3.36,0,0.0,9
70,3,16,50,269.76,13.44,0,0.0,9
70,4,16,50,269.76,13.44,1,0.0,9
2364,40,16,250,1527.13,76.08,1,1501.02,9
1652,2,7,140,2472.8,123.2,1,3.53,13
70,7,16,50,269.76,13.44,1,0.0,9
70,8,16,50,269.76,13.44,1,0.0,9
70,9,16,50,269.76,13.44,1,0.0,9
70,10,16,50,269.76,13.44,0,0.0,9
70,11,16,50,67.44,3.36,1,0.0,9
1652,27,7,140,2472.8,123.2,1,138.55,13
42,53,16,20,67.44,3.36,0,0.0,9
1723,53,6,130,2897.67,144.37,0,3409.42,13
3994,11,9,190,3468.66,172.82,1,232.48,14
2380,41,16,240,269.76,13.44,0,327.42,9
4179C,131,26,350,2053.17,102.29,0,1010.44,13
42,58,16,20,316.97,15.79,1,0.0,9
42,59,16,20,316.97,15.79,0,0.0,9
4179D,171,26,360,2300.45,114.61,0,0.0,13
4179F,59,26,360,2113.12,105.28,0,43.31,13
42,62,16,20,316.97,15.79,1,0.0,9
2382,002A,16,240,674.4,33.6,0,802.02,9
1692,37,6,20,2203.04,109.76,1,588.66,13
42,65,16,20,899.2,44.8,1,0.0,9
42,66,16,20,899.2,44.8,1,0.0,9
2401B,46,15,60,809.28,40.32,0,960.18,7
42,68,16,20,899.2,44.8,0,0.0,9
42,69,16,20,899.2,44.8,1,0.0,9
42,70,16,20,0.0,0.0,0,0.0,9
42,71,16,20,899.2,44.8,0,0.0,9
42,72,16,20,316.97,15.79,0,0.0,9
42,73,16,20,899.2,44.8,0,0.0,9
42,75,16,20,316.97,15.79,0,0.0,9
42,76,16,20,316.97,15.79,0,0.0,9
42,77,16,20,316.97,15.79,1,0.0,9
42,78,16,20,316.97,15.79,1,0.0,9
42,79,16,20,316.97,15.79,1,0.0,9
42,80,16,20,0.0,0.0,0,0.0,9
4429C,010B,27,230,2069.67,103.12,1,12.62,5
2402,11,15,60,472.08,23.52,0,564.72,7
42,83,16,20,0.0,0.0,0,0.0,9
4808,14,27,180,1596.82,79.56,0,44.44,6
42,88,16,20,0.0,0.0,0,0.0,9
1693,31,6,10,3300.06,164.42,1,620.5,13
42,90,16,20,899.2,44.8,0,0.0,9
42,91,16,20,316.97,15.79,0,0.0,9
42,92,16,20,0.0,0.0,0,0.0,9
42,93,16,20,0.0,0.0,0,0.0,9
42,94,16,20,0.0,0.0,0,0.0,9
42,95,16,20,0.0,0.0,0,0.0,9
42,96,16,20,0.0,0.0,0,0.0,9
42,97,16,20,0.0,0.0,0,0.0,9
42,98,16,20,0.0,0.0,0,0.0,9
42,99,16,20,0.0,0.0,0,0.0,9
42,100,16,20,0.0,0.0,0,0.0,9
42,101,16,20,0.0,0.0,0,0.0,9
42,102,16,20,0.0,0.0,0,0.0,9
42,103,16,20,0.0,0.0,0,0.0,9
42,104,16,20,0.0,0.0,0,0.0,9
42,105,16,20,0.0,0.0,0,0.0,9
72,003B,16,40,899.2,44.8,0,0.0,
1693,54,6,10,2261.49,112.67,1,2037.84,13
42,106,16,20,0.0,0.0,0,0.0,9
42,107,16,20,0.0,0.0,0,0.0,9
42,108,16,20,0.0,0.0,0,0.0,9
42,109,16,20,0.0,0.0,0,0.0,9
42,110,16,20,0.0,0.0,0,0.0,9
42,111,16,20,0.0,0.0,0,0.0,9
42,112,16,20,0.0,0.0,0,0.0,9
42,113,16,20,0.0,0.0,0,0.0,9
42,114,16,20,0.0,0.0,0,0.0,9
1713,112,6,170,2461.56,122.64,1,2035.18,1
2403,23,15,60,472.08,23.52,0,564.72,7
5770,7,27,30,3628.27,180.77,0,0.0,3
6353,20,26,170,1863.59,92.85,0,919.93,1
53,32,16,20,0.0,0.0,0,0.0,9
53,34,16,20,899.2,44.8,1,0.0,9
53,35,16,20,0.0,0.0,0,0.0,9
3190,68,15,350,22.48,1.12,0,26.36,6
53,39,16,20,899.2,44.8,1,0.0,9
1842,8,1,130,3716.69,185.17,1,1984.62,1
53,42,16,20,0.0,0.0,0,0.0,9
53,43,16,20,0.0,0.0,0,0.0,9
1841,92,1,130,5633.49,280.67,1,2799.99,1
1841,94,1,130,5802.83,289.11,1,2881.29,1
1842,1,1,130,6751.49,336.37,1,1555.47,1
1842,6,1,130,5677.71,282.88,1,2796.98,1
2487,53,16,170,6.74,0.34,0,18.9,8
2530C,267,25,10,2018.7,100.58,1,2178.55,8
7185,13,25,90,1126.25,56.11,0,0.0,10
7900E,52,28,50,2856.47,142.32,0,1398.66,8
2532,24,20,40,83.18,4.14,0,108.56,8
1744,113,2,30,6677.3,332.68,1,6252.2,13
6719,8,26,10,2607.68,129.92,0,2726.76,1
1791,19,1,130,6908.85,344.21,1,1394.24,1
2527,80,28,50,2509.51,125.03,1,33.82,8
6005C,1,26,230,3811.87,189.92,1,684.54,2
6005,94,26,220,2302.69,114.72,1,22.66,2
1752,87,1,140,3512.88,175.02,0,4119.96,1
43,31,16,20,0.0,0.0,0,0.0,9
43,33,16,20,0.0,0.0,0,0.0,9
43,35,16,20,316.97,15.79,1,0.0,9
43,36,16,20,316.97,15.79,1,0.0,9
1791,15,1,130,3655.99,182.15,1,3696.78,1
1744,106,2,30,6812.95,339.44,1,3093.67,13
1744,110,2,30,6758.99,336.75,1,3189.82,13
1744,112,2,30,6717.77,334.69,1,3121.87,13
1744,114,2,30,6717.77,334.69,1,2800.29,13
1747,9,2,10,5497.87,273.92,1,2745.78,13
1787,33,1,60,6427.03,320.21,1,1354.26,1
1789,56,1,70,3907.77,194.69,1,1353.66,1
1791,20,1,130,3689.71,183.83,1,938.54,1
1855,49,1,70,5044.51,251.33,0,103.4,1
2532,26,20,40,712.62,35.5,0,846.82,8
44,2,16,10,316.97,15.79,0,0.0,9
44,3,16,10,316.97,15.79,1,0.0,9
44,4,16,10,899.2,44.8,1,0.0,9
5,39,15,130,1011.6,50.4,1,783.55,7
2537,14,20,40,2380.63,118.61,0,2803.08,8
1747,56,2,10,4512.48,224.82,1,1083.86,13
5210E,20,27,590,2468.3,122.98,1,2653.58,4
1456,24,8,50,674.4,33.6,0,256.83,12
5210E,21,27,590,2389.62,119.06,1,2571.52,4
5210E,42,27,590,2385.13,118.83,1,2566.77,4
3228B,39,13,50,1218.42,60.7,0,200.15,7
1774,92,2,90,2642.91,131.68,1,1287.34,1
2515A,13,16,170,2154.33,107.33,1,2097.46,8
1772,10,2,80,3114.22,155.16,0,3568.01,1
2515A,24,16,170,2083.15,103.79,1,1742.48,8
45,9,16,10,899.2,44.8,0,0.0,9
1772,48,2,80,6744.0,336.0,0,7909.44,1
1775,27,1,30,5654.46,281.72,0,179.91,1
1747,26,2,10,9684.38,482.5,1,3512.81,13
1751,16,1,140,3366.0,167.7,1,1066.06,1
1751,22,1,140,6214.21,309.6,1,1066.76,1
1751,24,1,140,3751.17,186.89,1,1348.08,1
2515A,7,16,170,2041.18,101.7,1,654.29,8
1753,2,2,40,2656.39,132.35,0,98.38,1
1753,4,2,40,4053.14,201.94,1,29.85,1
1752,81,1,140,3144.21,156.65,1,1573.64,1
5,22,15,130,1011.6,50.4,0,1197.42,7
2528C,75,28,50,2374.63,118.31,1,2240.75,8
3063,010C,15,270,2535.74,126.34,1,2712.85,7
44,27,16,10,0.0,0.0,1,0.0,9
3066C,24,15,40,3187.66,158.82,1,3393.07,7
1753,95,2,40,3934.0,196.0,1,1945.87,1
3067,3,15,260,4430.81,220.75,1,3112.89,7
3085,37,15,270,2587.45,128.91,0,2967.13,7
3085,72,15,270,2077.15,103.49,1,2234.32,7
1776,49,1,30,9419.12,469.28,0,4590.27,1
5,20,15,130,472.08,23.52,0,553.68,7
1755,30,2,100,4469.77,222.69,1,4484.6,1
1755,32,2,100,4279.45,213.21,1,4302.56,1
1755,33,2,100,4421.07,220.27,1,2088.78,1
5,21,15,130,1011.6,50.4,1,1075.64,7
1540,61,8,150,1652.28,82.32,0,406.08,13
1755,28,2,100,7539.79,375.65,1,3621.58,1
1755,59,2,100,4307.91,214.63,1,2166.69,1
1752,78,1,140,4207.51,209.63,1,1988.0,1
1753,3,2,40,2437.57,121.44,0,959.82,1
2750B,29,15,250,2675.12,133.28,1,2417.48,6
2752,6,15,250,4030.66,200.82,0,4738.24,6
2752A,26,15,20,3590.06,178.86,0,3973.58,6
1757,064A,1,20,0.0,0.0,0,0.0,
1825,003B,3,70,0.0,0.0,0,0.0,
7223,15,25,80,229.3,11.42,0,279.96,10
59,69,16,30,316.97,15.79,0,0.0,9
59,70,16,30,316.97,15.79,0,0.0,9
1031,16,24,60,4717.05,235.01,1,1717.31,11
1765,25,2,90,3854.58,192.04,1,1847.38,1
59,75,16,30,67.44,3.36,0,0.0,9
59,77,16,30,316.97,15.79,0,0.0,9
1506,81,8,160,337.2,16.8,0,405.46,13
59,79,16,30,316.97,15.79,0,0.0,9
59,80,16,30,899.2,44.8,0,0.0,9
1506,91,8,160,337.2,16.8,0,395.46,13
1897,21,1,100,3055.03,152.21,1,2376.3,1
59,84,16,30,67.44,3.36,0,0.0,9
1756,62,2,100,4054.65,202.01,1,1016.15,1
1756,79,2,100,5222.85,260.21,1,2412.08,1
1765,6,2,90,5327.76,265.44,1,2234.06,1
1765,13,2,90,5865.03,292.21,1,2909.48,1
1765,14,2,90,6234.45,310.61,1,3047.41,1
1765,28,2,90,4308.67,214.67,1,4371.92,1
1765,29,2,90,4923.12,245.28,1,1021.33,1
1765,30,2,90,6144.53,306.13,1,3046.62,1
2538,1,20,40,1677.01,83.55,0,1927.06,8
2722,1,15,200,2488.54,123.98,0,2929.62,6
2722,16,15,200,1805.14,89.94,0,2128.12,6
2736,4,15,20,2953.87,147.17,1,757.85,6
1758,40,1,20,8301.86,413.62,1,3304.56,1
3836B,19,12,150,3158.44,157.36,0,3715.28,12
3843,41,12,160,5869.53,292.43,1,4045.9,12
3845,007G,12,170,2524.5,125.78,1,486.65,12
3845,008E,12,170,2506.52,124.88,0,2950.72,12
1762,1,2,40,4486.27,223.52,0,4709.8,1
3845,11,12,170,1530.89,76.27,0,1806.48,12
7471,16,25,40,1784.17,88.89,1,1835.8,10
2020,64,24,100,4818.21,240.05,1,4434.28,11
1758,117,1,20,3228.87,160.87,1,260.42,1
7470S,47,25,50,1706.23,85.01,0,0.0,10
1935,55,24,70,6657.83,331.71,1,7110.97,11
3039,008B,15,290,1897.31,94.53,1,2035.53,7
3039,008I,15,290,2427.84,120.96,1,554.17,7
1758,39,1,20,4412.82,219.86,1,1436.09,1
1758,44,1,20,8712.51,434.08,1,1956.52,1
1758,49,1,20,5313.53,264.73,1,1983.99,1
1758,54,1,20,5432.67,270.67,1,1653.57,1
1761,156,1,140,6056.85,301.76,1,2995.75,1
1762,2,2,40,4005.19,199.55,1,1135.68,1
5745A,11,26,230,0.0,0.0,0,0.0,
6019,002B,26,220,0.0,0.0,0,0.0,
6019,002C,26,220,0.0,0.0,0,0.0,
6019,002D,26,220,0.0,0.0,0,0.0,
6019,003D,26,220,0.0,0.0,0,0.0,
6019,003E,26,220,0.0,0.0,0,0.0,
2912,13,15,260,2818.99,140.45,1,1933.67,7
2912,17,15,260,2760.54,137.54,1,2980.85,7
1766,29,1,30,3666.49,182.67,1,3698.84,1
46,1,16,10,0.0,0.0,0,0.0,9
47,1,16,230,674.4,33.6,1,0.0,9
2021,31,24,110,5177.14,257.94,1,37.13,11
2174A,17,20,70,562.0,28.0,0,659.12,9
47,001D,16,230,674.4,33.6,0,0.0,9
47,001E,16,230,674.4,33.6,1,0.0,9
47,001F,16,230,674.4,33.6,1,0.0,9
47,001G,16,230,674.4,33.6,1,0.0,9
47,001H,16,230,674.4,33.6,0,0.0,9
47,001I,16,230,674.4,33.6,1,0.0,9
47,001J,16,230,674.4,33.6,1,0.0,9
47,001L,16,230,674.4,33.6,0,0.0,9
47,001M,16,230,674.4,33.6,1,0.0,9
47,001N,16,230,674.4,33.6,1,0.0,9
1766,10,1,30,5379.46,268.02,1,2378.63,1
1766,27,1,30,4370.11,217.73,1,1175.33,1
1766,30,1,30,5753.37,286.64,1,835.55,1
1767,32,1,20,4842.19,241.25,1,2415.62,1
47,001O,16,230,674.4,33.6,0,0.0,9
47,2,16,230,674.4,33.6,1,0.0,9
47,3,16,230,674.4,33.6,1,0.0,9
47,4,16,230,674.4,33.6,1,0.0,9
47,5,16,230,674.4,33.6,1,0.0,9
47,6,16,230,674.4,33.6,0,0.0,9
47,7,16,230,674.4,33.6,1,0.0,9
47,8,16,230,674.4,33.6,1,0.0,9
47,9,16,230,674.4,33.6,1,0.0,9
47,10,16,230,674.4,33.6,0,0.0,9
47,11,16,230,674.4,33.6,1,0.0,9
47,12,16,230,674.4,33.6,1,0.0,9
47,13,16,230,674.4,33.6,0,0.0,9
47,14,16,230,674.4,33.6,1,0.0,9
47,15,16,230,674.4,33.6,1,0.0,9
47,16,16,230,674.4,33.6,1,0.0,9
2949,22,15,210,2434.58,121.3,1,2607.33,6
47,18,16,230,674.4,33.6,0,0.0,9
47,20,16,230,674.4,33.6,0,0.0,9
47,21,16,230,674.4,33.6,1,0.0,9
47,22,16,230,674.4,33.6,1,0.0,9
47,23,16,230,674.4,33.6,1,0.0,9
47,24,16,230,674.4,33.6,0,0.0,9
47,25,16,230,60.7,3.02,0,0.0,9
2034A,38,24,100,4402.33,219.33,1,81.5,11
1767,38,1,20,4319.15,215.19,1,2160.34,1
1770,30,1,140,4410.58,219.74,1,4399.0,1
47,30,16,230,674.4,33.6,1,0.0,9
47,31,16,230,674.4,33.6,1,0.0,9
47,32,16,230,0.0,0.0,1,0.0,9
47,33,16,230,674.4,33.6,0,0.0,9
47,34,16,230,674.4,33.6,0,0.0,9
2823A,1,15,280,5172.65,257.71,0,6077.58,6
47,36,16,230,674.4,33.6,1,0.0,9
47,37,16,230,674.4,33.6,1,0.0,9
47,38,16,230,674.4,33.6,1,0.0,9
47,40,16,230,674.4,33.6,1,0.0,9
47,42,16,230,674.4,33.6,1,0.0,9
47,43,16,230,674.4,33.6,1,0.0,9
47,44,16,230,674.4,33.6,1,0.0,9
47,45,16,230,674.4,33.6,1,0.0,9
50,62,16,30,67.44,3.36,0,0.0,9
50,64,16,30,67.44,3.36,0,0.0,9
50,65,16,30,316.97,15.79,0,0.0,9
50,66,16,30,316.97,15.79,0,0.0,9
1860,76,1,130,7274.53,362.43,1,4470.18,1
2109,54,20,80,674.4,33.6,1,25.97,9
50,69,16,30,316.97,15.79,0,0.0,9
50,70,16,30,316.97,15.79,0,0.0,9
1770,36,1,140,5478.38,272.94,1,2714.82,1
1860,54,1,130,8212.69,409.17,1,1359.51,1
1,13,15,370,472.08,23.52,0,514.96,7
2880B,2,15,30,2409.86,120.06,1,2592.54,7
49,4,16,50,0.0,0.0,0,0.0,9
2880B,35,15,30,3556.34,177.18,0,4181.96,7
3307A,33,15,340,472.08,23.52,0,564.72,6
3307A,35,15,340,67.44,3.36,0,90.12,6
49,8,16,50,0.0,0.0,0,0.0,9
3307A,44,15,340,472.08,23.52,0,564.72,6
49,10,16,50,269.76,13.44,0,0.0,9
49,11,16,50,269.76,13.44,1,0.0,9
49,12,16,50,269.76,13.44,1,0.0,9
