Log10 Density    Temperature
-16.5763         4891.7244
-16.5747         4892.2699
-16.5731         4892.8136
-16.5714         4893.3553
-16.5698         4893.8951
-16.5682         4894.4330
-16.5666         4894.9690
-16.5650         4895.5032
-16.5634         4896.0355
-16.5618         4896.5660
-16.5602         4897.0947
-16.5587         4897.6216
-16.5571         4898.1467
-16.5555         4898.6700
-16.5540         4899.1915
-16.5524         4899.7113
-16.5509         4900.2293
-16.5493         4900.7456
-16.5478         4901.2601
-16.5462         4901.7730
-16.5447         4902.2841
-16.5432         4902.7936
-16.5417         4903.3014
-16.5402         4903.8075
-16.5387         4904.3120
-16.5372         4904.8149
-16.5357         4905.3161
-16.5342         4905.8157
-16.5327         4906.3136
-16.5312         4906.8100
-16.5297         4907.3048
-16.5283         4907.7980
-16.5268         4908.2897
-16.5253         4908.7798
-16.5239         4909.2683
-16.5224         4909.7553
-16.5210         4910.2408
-16.5196         4910.7247
-16.5181         4911.2072
-16.5167         4911.6882
-16.5153         4912.1676
-16.5138         4912.6456
-16.5124         4913.1222
-16.5110         4913.5972
-16.5096         4914.0708
-16.5082         4914.5430
-16.5068         4915.0137
-16.5054         4915.4831
-16.5040         4915.9510
-16.5026         4916.4175
-16.5013         4916.8826
-16.4999         4917.3463
-16.4985         4917.8086
-16.4971         4918.2696
-16.4958         4918.7292
-16.4944         4919.1874
-16.4931         4919.6443
-16.4917         4920.0998
-16.4904         4920.5541
-16.4890         4921.0070
-16.4877         4921.4586
-16.4863         4921.9088
-16.4850         4922.3578
-16.4837         4922.8055
-16.4824         4923.2519
-16.4811         4923.6971
-16.4797         4924.1409
-16.4784         4924.5835
-16.4771         4925.0249
-16.4758         4925.4650
-16.4745         4925.9038
-16.4732         4926.3415
-16.4719         4926.7779
-16.4706         4927.2131
-16.4694         4927.6470
-16.4681         4928.0798
-16.4668         4928.5114
-16.4655         4928.9418
-16.4643         4929.3710
-16.4630         4929.7990
-16.4617         4930.2259
-16.4605         4930.6515
-16.4592         4931.0761
-16.4580         4931.4995
-16.4567         4931.9217
-16.4555         4932.3428
-16.4543         4932.7628
-16.4530         4933.1816
-16.4518         4933.5994
-16.4506         4934.0160
-16.4493         4934.4315
-16.4481         4934.8459
-16.4469         4935.2592
-16.4457         4935.6714
-16.4445         4936.0826
-16.4433         4936.4926
-16.4421         4936.9016
-16.4409         4937.3096
-16.4397         4937.7164
-16.4385         4938.1222
-16.4373         4938.5270
-16.4361         4938.9307
-16.4349         4939.3334
-16.4337         4939.7351
-16.4325         4940.1357
-16.4314         4940.5353
-16.4302         4940.9339
-16.4290         4941.3315
-16.4279         4941.7280
-16.4267         4942.1236
-16.4255         4942.5182
-16.4244         4942.9118
-16.4232         4943.3044
-16.4221         4943.6960
-16.4209         4944.0867
-16.4198         4944.4764
-16.4186         4944.8651
-16.4175         4945.2528
-16.4164         4945.6397
-16.4152         4946.0255
-16.4141         4946.4104
-16.4130         4946.7944
-16.4119         4947.1774
-16.4107         4947.5595
-16.4096         4947.9407
-16.4085         4948.3210
-16.4074         4948.7003
-16.4063         4949.0787
-16.4052         4949.4563
-16.4041         4949.8329
-16.4030         4950.2086
-16.4019         4950.5834
-16.4008         4950.9574
-16.3997         4951.3304
-16.3986         4951.7026
-16.3975         4952.0739
-16.3964         4952.4443
-16.3953         4952.8138
-16.3943         4953.1825
-16.3932         4953.5503
-16.3921         4953.9173
-16.3910         4954.2834
-16.3900         4954.6487
-16.3889         4955.0131
-16.3878         4955.3767
-16.3868         4955.7394
-16.3857         4956.1014
-16.3847         4956.4624
-16.3836         4956.8227
-16.3826         4957.1822
-16.3815         4957.5408
-16.3805         4957.8986
-16.3794         4958.2556
-16.3784         4958.6118
-16.3774         4958.9672
-16.3763         4959.3218
-16.3753         4959.6756
-16.3743         4960.0286
-16.3732         4960.3809
-16.3722         4960.7323
-16.3712         4961.0830
-16.3702         4961.4329
-16.3691         4961.7820
-16.3681         4962.1303
-16.3671         4962.4779
-16.3661         4962.8248
-16.3651         4963.1708
-16.3641         4963.5161
-16.3631         4963.8607
-16.3621         4964.2045
-16.3611         4964.5476
-16.3601         4964.8899
-16.3591         4965.2315
-16.3581         4965.5723
-16.3571         4965.9125
-16.3561         4966.2519
-16.3551         4966.5905
-16.3541         4966.9285
-16.3532         4967.2657
-16.3522         4967.6022
-16.3512         4967.9380
-16.3502         4968.2731
-16.3493         4968.6075
-16.3483         4968.9411
-16.3473         4969.2741
-16.3464         4969.6064
-16.3454         4969.9380
-16.3444         4970.2689
-16.3435         4970.5991
-16.3425         4970.9286
-16.3416         4971.2574
-16.3406         4971.5856
-16.3396         4971.9131
-16.3387         4972.2399
-16.3378         4972.5660
-16.3368         4972.8915
-16.3359         4973.2163
-16.3349         4973.5404
-16.3340         4973.8639
-16.3330         4974.1868
-16.3321         4974.5089
-16.3312         4974.8304
-16.3302         4975.1513
-16.3293         4975.4715
-16.3284         4975.7911
-16.3275         4976.1101
-16.3265         4976.4284
-16.3256         4976.7460
-16.3247         4977.0631
-16.3238         4977.3795
-16.3229         4977.6952
-16.3220         4978.0104
-16.3210         4978.3249
-16.3201         4978.6388
-16.3192         4978.9521
-16.3183         4979.2648
-16.3174         4979.5769
-16.3165         4979.8883
-16.3156         4980.1992
-16.3147         4980.5094
-16.3138         4980.8191
-16.3129         4981.1281
-16.3120         4981.4365
-16.3111         4981.7444
-16.3103         4982.0516
-16.3094         4982.3583
-16.3085         4982.6644
-16.3076         4982.9699
-16.3067         4983.2748
-16.3058         4983.5791
-16.3050         4983.8828
-16.3041         4984.1860
-16.3032         4984.4886
-16.3023         4984.7906
-16.3015         4985.0920
-16.3006         4985.3929
-16.2997         4985.6932
-16.2989         4985.9930
-16.2980         4986.2922
-16.2971         4986.5908
-16.2963         4986.8889
-16.2954         4987.1864
-16.2946         4987.4834
-16.2937         4987.7798
-16.2928         4988.0757
-16.2920         4988.3710
-16.2911         4988.6657
-16.2903         4988.9600
-16.2894         4989.2537
-16.2886         4989.5468
-16.2878         4989.8394
-16.2869         4990.1315
-16.2861         4990.4231
-16.2852         4990.7141
-16.2844         4991.0046
-16.2836         4991.2946
-16.2827         4991.5840
-16.2819         4991.8729
-16.2811         4992.1613
-16.2802         4992.4492
-16.2794         4992.7366
-16.2786         4993.0234
-16.2778         4993.3098
-16.2769         4993.5956
-16.2761         4993.8809
-16.2753         4994.1657
-16.2745         4994.4500
-16.2737         4994.7338
-16.2728         4995.0171
-16.2720         4995.2999
-16.2712         4995.5822
-16.2704         4995.8640
-16.2696         4996.1454
-16.2688         4996.4262
-16.2680         4996.7065
-16.2672         4996.9864
-16.2664         4997.2657
-16.2656         4997.5446
-16.2648         4997.8230
-16.2640         4998.1009
-16.2632         4998.3783
-16.2624         4998.6552
-16.2616         4998.9317
-16.2608         4999.2077
-16.2600         4999.4832
-16.2592         4999.7583
-16.2584         5000.0328
-16.2576         5000.3069
-16.2568         5000.5806
-16.2561         5000.8538
